customer_id,gender,region,age,product_name,category,unit_price,quantity,total_price,shipping_fee,shipping_status,order_date,total_sales,profit
CUST0001,Male,North,23,Headphones,Accessories,100,5,500,12.22,Delivered,18-01-2023,500,100
CUST0002,Male,South,52,Laptop,Electronics,1500,5,7500,19.69,In Transit,17-09-2023,7500,1500
CUST0003,Female,East,52,Headphones,Accessories,100,2,200,12,In Transit,28-10-2023,200,40
CUST0004,Female,East,69,Keyboard,Accessories,470,1,1368,14.53,Returned,23-04-2023,470,94
CUST0005,Female,North,33,Smartwatch,Wearables,200,2,400,10.07,Delivered,21-11-2023,400,80
CUST0006,Male,West,29,Headphones,Accessories,100,3,300,10.7,Delivered,23-04-2023,300,60
CUST0007,Male,West,51,Keyboard,Accessories,103,4,200,11.41,Returned,20-05-2023,412,82.4
CUST0008,Female,East,57,Monitor,Electronics,300,2,600,12.38,Returned,17-11-2023,600,120
CUST0009,Male,South,60,Keyboard,Accessories,50,4,200,10.91,Returned,10-12-2023,200,40
CUST0010,Male,East,64,Smartphone,Electronics,800,4,3200,17.27,In Transit,08-08-2023,3200,640
CUST0011,Female,South,57,Keyboard,Accessories,470,1,1368,9.6,Delivered,04-12-2023,470,94
CUST0012,Male,East,21,Mouse,Accessories,470,1,1368,6.17,In Transit,23-10-2023,470,94
CUST0013,Male,West,22,Headphone,Accessories,100,2,200,6.93,In Transit,09-04-2023,200,40
CUST0014,Female,West,59,Monitor,Electronics,300,4,1200,17.37,In Transit,26-11-2023,1200,240
CUST0015,Male,North,46,Mouse,Accessories,30,3,90,6.97,Returned,06-06-2023,90,18
CUST0016,Female,North,25,Smartwatch,Wearables,200,1,200,14.9,Delivered,14-08-2023,200,40
CUST0017,Male,North,62,Keyboard,Accessories,470,4,200,12.79,Delivered,29-09-2023,1880,376
CUST0018,Male,North,41,Laptop,Electronics,1500,4,6000,7.13,Delivered,14-01-2023,6000,1200
CUST0019,Male,West,61,Monitor,Electronics,300,1,300,13.82,Returned,15-09-2023,300,60
CUST0020,Female,East,46,Headphones,Accessories,100,2,200,13.06,Returned,05-02-2023,200,40
CUST0021,Male,West,23,Monitor,Electronics,300,3,900,12.58,Returned,16-04-2023,900,180
CUST0022,Male,East,19,Keyboard,Accessories,470,4,200,5.32,Delivered,14-02-2023,1880,376
CUST0023,Male,South,46,Keyboard,Accessories,470,5,250,10.89,Delivered,19-03-2023,2350,470
CUST0024,Male,North,38,Monitor,Electronics,300,1,300,17.22,Returned,13-08-2023,300,60
CUST0025,Male,East,28,Monitor,Electronics,300,1,300,17.98,Returned,03-01-2024,300,60
CUST0026,Female,South,46,Mouse,Accessories,30,1,1368,18.29,In Transit,19-04-2023,30,6
CUST0027,Female,East,61,Smartphone,Electronics,800,4,3200,11.79,In Transit,07-02-2023,3200,640
CUST0028,Female,South,26,Laptop,Electronics,1500,4,6000,15.74,Returned,12-08-2023,6000,1200
CUST0029,Male,North,33,Monitor,Electronics,300,4,1200,14.88,Delivered,12-04-2023,1200,240
CUST0030,Male,West,68,Headphones,Accessories,100,2,200,13.49,In Transit,13-12-2023,200,40
CUST0031,Female,South,53,Monitor,Electronics,300,2,600,18.38,In Transit,05-09-2023,600,120
CUST0032,Female,South,46,Smartphone,Electronics,800,5,4000,10.62,Returned,26-01-2023,4000,800
CUST0033,Male,East,68,Monitor,Electronics,300,2,600,9.56,In Transit,23-12-2023,600,120
CUST0034,Female,West,67,Laptop,Electronics,1500,4,6000,7.01,Delivered,01-09-2023,6000,1200
CUST0035,Female,North,47,Smartphone,Electronics,800,1,800,11.29,Returned,28-10-2023,800,160
CUST0036,Male,North,57,Laptop,Electronics,1500,4,6000,10.92,In Transit,13-05-2023,6000,1200
CUST0037,Female,East,36,Smartwatch,Wearables,200,3,600,7.89,Delivered,14-07-2023,600,120
CUST0038,Male,North,64,Smartwatch,Wearables,200,2,400,11.26,In Transit,11-01-2023,400,80
CUST0039,Female,East,31,Smartphone,Electronics,800,1,800,19.22,In Transit,07-12-2023,800,160
CUST0040,Female,South,18,Keyboard,Accessories,50,2,100,15.08,Returned,15-06-2023,100,20
CUST0041,Female,West,49,Keyboard,Accessories,50,4,200,19.72,In Transit,25-12-2023,200,40
CUST0042,Female,North,67,Headphones,Accessories,100,2,200,11.65,Returned,14-12-2023,200,40
CUST0043,Female,East,42,Monitor,Electronics,300,4,1200,18.15,In Transit,27-03-2023,1200,240
CUST0044,Female,South,54,Monitor,Electronics,300,1,300,11.31,Returned,28-08-2023,300,60
CUST0045,Female,South,40,Mouse,Accessories,30,5,150,8.64,Delivered,22-12-2023,150,30
CUST0046,Female,South,46,Laptop,Electronics,1500,3,4500,5.4,Delivered,19-01-2023,4500,900
CUST0047,Male,South,51,Laptop,Electronics,1500,2,3000,7.43,Delivered,16-11-2023,3000,600
CUST0048,Male,West,44,Smartwatch,Wearables,200,3,600,18.09,In Transit,28-10-2023,600,120
CUST0049,Male,North,45,Keyboard,Accessories,50,2,100,19.04,Delivered,16-03-2023,100,20
CUST0050,Male,East,59,Smartwatch,Wearables,200,3,600,9.82,In Transit,08-02-2023,600,120
CUST0051,Male,West,46,Monitor,Electronics,300,5,1500,7.77,In Transit,24-10-2023,1500,300
CUST0052,Male,North,28,Keyboard,Accessories,50,4,200,15.31,Delivered,28-06-2023,200,40
CUST0053,Female,South,37,Mouse,Accessories,30,3,90,19.41,Returned,27-12-2023,90,18
CUST0054,Female,West,41,Keyboard,Accessories,50,5,250,7.13,Delivered,17-02-2023,250,50
CUST0055,Female,East,49,Headphones,Accessories,100,2,200,9.8,Returned,01-06-2023,200,40
CUST0056,Female,South,43,Monitor,Electronics,300,2,600,18.27,In Transit,18-05-2023,600,120
CUST0057,Male,South,54,Laptop,Electronics,1500,1,1500,5.16,Delivered,14-03-2023,1500,300
CUST0058,Male,South,46,Smartphone,Electronics,800,2,1600,11.44,Returned,09-06-2023,1600,320
CUST0059,Female,South,35,Mouse,Accessories,30,3,90,11.42,Delivered,25-12-2023,90,18
CUST0060,Male,East,36,Headphones,Accessories,100,2,200,7.71,Returned,03-11-2023,200,40
CUST0061,Male,East,48,Mouse,Accessories,62,2,60,7.4,Returned,20-08-2023,124,24.8
CUST0062,Female,East,61,Smartphone,Electronics,800,2,1600,6.01,Returned,03-10-2023,1600,320
CUST0063,Female,West,54,Keyboard,Accessories,50,4,200,9.22,Returned,05-10-2023,200,40
CUST0064,Male,North,25,Smartphone,Electronics,800,4,3200,18.2,In Transit,24-01-2023,3200,640
CUST0065,Male,East,18,Keyboard,Accessories,50,2,100,11.25,Returned,24-03-2023,100,20
